,original,pre_processed_text,time_parsed,sentiments,predictions
38,"Great video! It's inspiring to see someone explore the benefits of fasting for 30 days. Fasting holds a significant place in Islam as well, particularly during the holy month of Ramadan. Muslims around the world observe a month-long fast from dawn to sunset, abstaining from food, drink, and other physical needs. Fasting in Islam not only promotes self-discipline and empathy for the less fortunate but also has numerous health benefits. It helps detoxify the body, improves mental clarity, and enhances spiritual growth. It's fascinating to see the commonalities and unique aspects of fasting across different cultures and religions. Keep up the excellent work!","great video! it is inspiring to see someone explore the benefit of fasting for 30 days. fasting hold a significant place in islam a well, particularly during the holy month of armada. muslim around the world observe a month long fast from dawn to sunset, obtaining from food, drink, and other physical needs. fasting in islam not only promotes self discipline and empathy for the le fortunate but also ha numerous health benefits. it help detoxify the body, improves mental clarity, and enhances spiritual growth. it is fascinating to see the commonality and unique aspect of fasting across different culture and religions. keep up the excellent work!",1685782113.620774,{'POSITIVE': 0.9612789154052734},miscellaneous
39,Congrats on reaching your goal! I'm jealous of how healthy your habits are (matcha tea and sushi was it?) and working out. I hope i can maintain my fast and reach my goal,contrast on reaching your goal! i am jealous of how healthy your habit are (match tea and sushi wa it ) and working out. i hope i can maintain my fast and reach my goal,1685782113.622704,{'POSITIVE': 0.696823000907898},miscellaneous
40,Ancient Hindu text the rig vedas written over 5000 years ago mention the benefit and science behind IF. Which is now being seen. We were the first ones to mention it’s benefits in our holy book on way of life..as far as benefits pharma and fast food companies are trying hard to sponsor studies against IF who would buy their statins if the body cured itself on its own,ancient hindu text the rig vega written over 50 year ago mention the benefit and science behind if. which is now being seen. we were the first one to mention it s benefit in our holy book on way of life.as far a benefit pharma and fast food company are trying hard to sponsor study against if who would buy their station if the body cured itself on it own,1685695713.624544,{'NEUTRAL': 0.7401054501533508},miscellaneous
41,II do 12/ 12  Just  mqking sure i have two hours  qt the beginning and the end to  focus on what needs to be done Or just relax sometimes the fast is more 10/14 but i always make sure to not eat 2 hrs for bed as it is always needed junk because of stress,ii do 12 12 just making sure i have two hour qt the beginning and the end to focus on what need to be done or just relax sometimes the fast is more 10 14 but i always make sure to not eat 2 hr for bed a it is always needed junk because of stress,1685695713.63366,{'NEUTRAL': 0.6603946089744568},miscellaneous
42,"So I do IF seasonally. In the Spring, Summer and Fall I'm a farmer and I find IF FAR too little calories for my 1500-2000 steps a day heavy work load. In the winter though it's perfect. Even when I'm not doing IF I stop eating around 6 because it makes me feel the best to stop eating long before sleep.","so i do if seasonally. in the spring, summer and fall i am a farmer and i find if far too little calorie for my 1500 20 step a day heavy work load. in the winter though it is perfect. even when i am not doing if i stop eating around 6 because it make me feel the best to stop eating long before sleep.",1685695713.636212,{'POSITIVE': 0.7017344236373901},miscellaneous
43,What was that red thing on your bananas?,what wa that red thing on your banana,1685695713.637959,{'NEUTRAL': 0.7785933017730713},miscellaneous
44,Muslim did this every year 😇 alhamdulilla,muslim did this every year alhamdulilla,1685695713.639693,{'NEUTRAL': 0.7436069846153259},miscellaneous
45,5:47 that lady is an idiot and clearly not a doctor. Sugar actually slows you down. Eating cookies in the morning is bad. Period. Eating nothing makes your body be more alert and focused,that lady is an idiot and clearly not a doctor. sugar actually slows you down. eating cooky in the morning is bad. period. eating nothing make your body be more alert and focused,1685695713.641514,{'NEGATIVE': 0.9721595048904419},miscellaneous
46,"I do fasting in Ramadan and I think it does reduce my weight but of course you need to consider what you eat. 

What I like about fasting, according to my experience, is that I am more aware about what I eat. Like ""does it give enough energy for the whole day"", ""how about the nutrition"", ""can I be hydrated enough?""etc. It is because I usually eat whatever I want as long as it makes me full 😅

Of course the down side is inevitable. When fasting, especially at the beginning at Ramadan, my energy level is low during mid day. But it gets better and better because my body start to adapt with the condition.","i do fasting in armada and i think it doe reduce my weight but of course you need to consider what you eat. what i like about fasting, according to my experience, is that i am more aware about what i eat. like doe it give enough energy for the whole day , how about the nutrition , can i be hydrate enough etc. it is because i usually eat whatever i want a long a it make me full of course the down side is inevitable. when fasting, especially at the beginning at armada, my energy level is low during mid day. but it get better and better because my body start to adapt with the condition.",1685609313.643547,{'POSITIVE': 0.8673482537269592},miscellaneous
47,Considering the idea behind this to lower the amount of instances of insulin spikes.  If anyone is trying to lose weight or reverse diabetes this is the way to do it. Couple it with a keto-ish lifestyle and you're golden.,considering the idea behind this to lower the amount of instance of insulin spikes. if anyone is trying to lose weight or reverse diabetes this is the way to do it. couple it with a veto ish lifestyle and you are golden.,1685609313.645444,{'POSITIVE': 0.5706849694252014},miscellaneous
48,"You can die from this.
I know someone who did.",you can die from this. i know someone who did.,1685609313.647399,{'NEGATIVE': 0.9427738189697266},miscellaneous
49,"I had a terrible habit of eating *anything* before bed. It basically became a ""bedtime routine"". The problem is that is also dragged that bedtime routine: I'd be on the phone/tablet longer because that extra bit of caloric intake afforded me a few more minutes (hours!) of ""awakeness"". And the problem with that is that it delayed actual sleep. Additionally, it's well-known that eating before bed does affect your sleep quality. Eating late was truly a double whammy!
A few weeks ago, I decided to stop eating after dinner. We eat dinner fairly late here (we usually wrap up dinner around 8pm), and I usually just go till around 9:30-10am without eating without a problem. I've noticed my sleep quality increased, my actual sleep time also increased, and I feel overall less bloated. I have lost a few pounds with this as well, but I see that only as a side benefit, not my main goal (reducing my caloric intake and working out more is my intended strategy for weight reduction).
Anyway, you don't have to go 18h: I aim for 13h (closer to the circadian rhythm approach) and I'm noticed a lot of benefits from it already–probably most of the ones being widely touted as the main IF benefits, tbh… ;)","i had a terrible habit of eating *anything* before bed. it basically became a bedside routine . the problem is that is also dragged that bedside routine: i would be on the phone tablet longer because that extra bit of calorie intake afforded me a few more minute (hours!) of awareness . and the problem with that is that it delayed actual sleep. additionally, it is well known that eating before bed doe affect your sleep quality. eating late wa truly a double grammy! a few week ago, i decided to stop eating after dinner. we eat dinner fairly late here (we usually wrap up dinner around 8pm), and i usually just go till around 10am without eating without a problem. i have noticed my sleep quality increased, my actual sleep time also increased, and i feel overall le bloated. i have lost a few pound with this a well, but i see that only a a side benefit, not my main goal (reducing my calorie intake and working out more is my intended strategy for weight reduction). anyway, you do not have to go 18h: i aim for 13h (closer to the circadian rhythm approach) and i am noticed a lot of benefit from it already probably most of the one being widely touted a the main if benefits, to be honest )",1685609313.649312,{'NEUTRAL': 0.4528202414512634},miscellaneous
50,4:02 Which app are you using?,which app are you using,1685522913.651404,{'NEUTRAL': 0.8339691758155823},interrogative
51,Yo Matt make a video on going to bed at 8 pm everyday!!!,yo matt make a video on going to bed at 8 pm everyday!,1685522913.6533,{'NEUTRAL': 0.779591977596283},miscellaneous
52,"I believe that intermittent fasting should be used as a tool to allow your body to digest, reset, and recover.","i believe that intermittent fasting should be used a a tool to allow your body to digest, reset, and recover.",1685522913.655216,{'POSITIVE': 0.4941233694553375},miscellaneous
53,"May I ask, does fasting for longer periods like 3 days or 1 week, makes you loose weight, became thinner and looks sickly? OR can we do fruit fasting or fruit / vegetable juice fasting?/","may i ask, doe fasting for longer period like 3 day or 1 week, make you loose weight, became thinner and look sickle or can we do fruit fasting or fruit vegetable juice fasting",1685522913.657083,{'NEUTRAL': 0.8203999400138855},miscellaneous
54,5:55 my thought just like Dora,my thought just like dora,1685522913.659056,{'NEUTRAL': 0.8213948011398315},miscellaneous
55,"you felt low energy, because you eat carbs in your feeding window. try not to eat any carbs - no rice, bread, flour, pasta, potato, beans, oatmeal.. (carbs in cruciferous vegetable don't count) for like 2-3 weeks prior to switching to 18-6 if and  then eat only meat from ruminant animals - those with more then 1 stomach and cruciferous vegetables, whole eggs and animal fat. you will see, that you will be full of energy and won't have any crashes or feeling a need for coffee","you felt low energy, because you eat car in your feeding window. try not to eat any car no rice, bread, flour, pasta, potato, beans, oatmeal. (cars in cruciferous vegetable do not count) for like 2 3 week prior to switching to 18 6 if and then eat only meat from dominant animal those with more then 1 stomach and cruciferous vegetables, whole egg and animal fat. you will see, that you will be full of energy and will not have any crash or feeling a need for coffee",1685522914.0117,{'NEUTRAL': 0.6217024922370911},miscellaneous
56,Does anyone know what blood pressure monitor he’s using? Never seen one like that before I wanna buy it lol,doe anyone know what blood pressure monitor he s using never seen one like that before i want to buy it lol,1685522914.012989,{'NEUTRAL': 0.5706200003623962},miscellaneous
57,"I keep coming back and check if u uploaded a video 😅 and not subscribe,  but then early this morning I was like I really like this man!  Who does all these experiments , to see the best version of himself, that's what I'm tryna be  , I was like damn,  and I subscribed at 4 am 😂🙈♡","i keep coming back and check if you uploaded a video and not subscribe, but then early this morning i wa like i really like this man! who doe all these experiment , to see the best version of himself, that is what i am try be , i wa like damn, and i subscribed at 4 am",1685522914.014169,{'POSITIVE': 0.8081359267234802},miscellaneous
58,we are allnmuslims fast every year .. for 30 day from the rise of sun to the sunset ... you need to be a muslim .. all your habits in our religion,we are allnmuslims fast every year . for 30 day from the rise of sun to the sunset . you need to be a muslim . all your habit in our religion,1685522914.015272,{'NEUTRAL': 0.7464403510093689},miscellaneous
59,what app did you use?,what app did you use,1685522914.016382,{'NEUTRAL': 0.8232625126838684},interrogative
60,We love that Zero could help guide you in your IF journey — congrats on your 30-day 18:6 streak! 🔥Can't wait to hear more about your ongoing year of fasting.,we love that zero could help guide you in your if journey contrast on your 30 day streak! cannot wait to hear more about your ongoing year of fasting.,1685522914.017451,{'POSITIVE': 0.9869773983955383},miscellaneous
61,i think 12/12 is enough window (at least for me) i am able to still have enough energy to do daily activities and 3 - 4 workout per week after 6 pm.,i think 12 12 is enough window (at least for me) i am able to still have enough energy to do daily activity and 3 4 workout per week after 6 pm.,1685522914.018506,{'POSITIVE': 0.8098162412643433},miscellaneous
62,Thanks,thanks,1685522914.019564,{'NEUTRAL': 0.5764604210853577},others
63,"I’ve been fasting for the past few years, anywhere between 16-25 hours depending on the day and my mood. I initially lost a bunch of weight but unfortunately for the scientist in me, I stopped drinking at the same time, so I can’t measure the two factors independently of one another. For reference I was drinking a bottle of wine most nights 😂

I’ve recently started building up a fair amount of muscle, so it is possible, even on a vegan diet! I’ve still got a bit of of ponch, so the fasting alone won’t magically give you a flat stomach, but as Mark says, I don’t really snack anymore, and it makes you really value your one or two meals and encourages you to really think about what you’re fueling yourself with.","i ve been fasting for the past few years, anywhere between 16 25 hour depending on the day and my mood. i initially lost a bunch of weight but unfortunately for the scientist in me, i stopped drinking at the same time, so i can t measure the two factor independently of one another. for reference i wa drinking a bottle of wine most night i ve recently started building up a fair amount of muscle, so it is possible, even on a vegan diet! i ve still got a bit of of porch, so the fasting alone won t magically give you a flat stomach, but a mark says, i don t really snack anymore, and it make you really value your one or two meal and encourages you to really think about what you re fueling yourself with.",1685522914.020627,{'NEUTRAL': 0.5364388823509216},miscellaneous
64,I'am living 16:8 all the time and it is great,i'am living all the time and it is great,1685436514.021722,{'POSITIVE': 0.9772418737411499},miscellaneous
65,"""what the fuck?"" perfectly summarized.",what the fuck perfectly summarized.,1685436514.022841,{'NEGATIVE': 0.8291400671005249},others
66,I’ve been fasting for a year and fast for 20hrs usually and lost 36lbs so far. I have about 80lbs to go,i ve been fasting for a year and fast for 20hrs usually and lost 36lbs so far. i have about 80lbs to go,1685436514.023895,{'NEUTRAL': 0.5843119025230408},miscellaneous
67,"I know its a big ask, but I would love to see you go back to your starting weight, and do a different ""fad"" diet to see how your ending graphs of weight and fat% differer. Love your videos man, long time subscriber.","i know it a big ask, but i would love to see you go back to your starting weight, and do a different fad diet to see how your ending graph of weight and fat% differed. love your video man, long time subscriber.",1685436514.024943,{'POSITIVE': 0.8889598250389099},miscellaneous
68,"I hardly let myself get hungry and always eat past full. Very bad habit/borderline eating disorder.

I have fasted in the past but I work out in the morning and it makes it difficult to lift while fasting.",i hardly let myself get hungry and always eat past full. very bad habit borderline eating disorder. i have lasted in the past but i work out in the morning and it make it difficult to lift while fasting.,1685436514.02642,{'NEGATIVE': 0.7780826687812805},miscellaneous
69,"I have been fasting for about three months now and I lost 22 pounds. I believe Early time restricted fasting is the way to go (you eat during morning/early afternoon and stop eating for the rest of the day. Three tips I can give to whoever is thinking about doing it:
-Eat enough protein which will make you feel less hungry throughout the day;
-Drink enough water (2,5L per day on my case)
- Keep your health in check: get vitamin deficiency tested and supplement what is missing;","i have been fasting for about three month now and i lost 22 pounds. i believe early time restricted fasting is the way to go (you eat during morning early afternoon and stop eating for the rest of the day. three tip i can give to whoever is thinking about doing it: eat enough protein which will make you feel le hungry throughout the day drink enough water (2,5l per day on my case) keep your health in check: get vitamin deficiency tested and supplement what is missing",1685436514.028404,{'NEUTRAL': 0.48781639337539673},miscellaneous
70,Hey Matt do a 30 day OMAD aka one meal a day. I been doing it for 30 days and lost 25 lbs and I feel amazing..,hey matt do a 30 day mad aka one meal a day. i been doing it for 30 day and lost 25 lb and i feel amazing.,1685436514.029468,{'POSITIVE': 0.9647681713104248},miscellaneous
71,"I have a tendency to do Intermittent intermittent fasting. From what I've learned, everything is really so personal and you have to figure out what is right for you. And what is right for you may also change. That's why it's important to be really in tune with your body and what it needs. There are periods of time when Intermittent fasting and an occasional extended fast feels right, and there are times when I get very clear signals that I need a little bit more than usual. Taking this more intuitive approach to it has been the best thing for me.","i have a tendency to do intermittent intermittent fasting. from what i have learned, everything is really so personal and you have to figure out what is right for you. and what is right for you may also change. that is why it is important to be really in tune with your body and what it needs. there are period of time when intermittent fasting and an occasional extended fast feel right, and there are time when i get very clear signal that i need a little bit more than usual. taking this more intuitive approach to it ha been the best thing for me.",1685436514.030529,{'POSITIVE': 0.8682798743247986},miscellaneous
72,MATT YOU ARE NOT A NUTRITION SCIENTIST,matt you are not a nutrition scientist,1685436514.03159,{'NEGATIVE': 0.7450578808784485},corrective
73,"Matt's 30 day vids are always class, cheers mate on another good vid!","matt's 30 day kid are always class, cheer mate on another good vid!",1685436514.032654,{'POSITIVE': 0.9748209118843079},miscellaneous
74,it is only a method. for me it does not work for me and I can't adhere to it. It is very good for others tho,it is only a method. for me it doe not work for me and i cannot adhere to it. it is very good for others though,1685436514.033766,{'NEUTRAL': 0.4330630600452423},miscellaneous
75,"Also, try to eat healthier than you were! Not eating healthy will definitely not help. Go for wholefoods and stay away from sugar","also, try to eat healthier than you were! not eating healthy will definitely not help. go for wholefoods and stay away from sugar",1685436514.200285,{'NEUTRAL': 0.46906131505966187},miscellaneous
76,Intermittent fasting - water = Ramadan ❤,intermittent fasting water armada,1685350114.560115,{'NEUTRAL': 0.9062514901161194},miscellaneous
77,"I started intermittent fasting briefly last year on a 3 week road trip through Spain (Spanish food is not Mexican food🤮)

I started again this year on Feb 1. I did 20/4 method. 
I lost 10lbs the first week. It was water weight of course. But my body had to adjust to the new eating cycles. My body fat declined even tho my weight stayed static. And after the 3 week I started to lose 2lbs a week. Fast forward to now 16 weeks later I’m down 32lbs with NO exercise and semi-healthy eating. 

There’s proof that fasting is the natural human eating cycle. Even the Bible and Quran preach it for that reason.",i started intermittent fasting briefly last year on a 3 week road trip through spain (spanish food is not mexican food ) i started again this year on feb 1. i did 20 4 method. i lost 10lbs the first week. it wa water weight of course. but my body had to adjust to the new eating cycles. my body fat declined even though my weight stayed static. and after the 3 week i started to lose 2lbs a week. fast forward to now 16 week later i m down 32lbs with no exercise and semi healthy eating. there s proof that fasting is the natural human eating cycle. even the bible and quran preach it for that reason.,1685350114.562414,{'POSITIVE': 0.5442715287208557},miscellaneous
