,Unnamed: 0,original,pre_processed_text,time_parsed,sentiments,predictions
10,10,By energy level problems take some electrolytes and salt,by energy level problem take some electrolyte and salt,1686041312.626563,Neutral,miscellaneous
11,11,I've been doing one single KETO meal a day for 2 years straight now. Haven't cheated once. Best shape and feeling of my life 💪,i have been doing one single veto meal a day for 2 year straight now. have not cheated once. best shape and feeling of my life,1686041312.629872,Positive,miscellaneous
12,12,Thank you for recommending the Zero app - that's what I was looking for. I really have high hopes for it.,thank you for recommending the zero app that is what i wa looking for. i really have high hope for it.,1685954912.635586,Positive,miscellaneous
13,13,i lol-ed at 5:55,i lol ed at,1685954912.638815,Neutral,miscellaneous
14,14,"Im in school i got no muscle or weight to lose. But then i am forced to fast. I have class buy 7am and i wake up by 530am. I just take a cup of coff, hot chocolate or tea with crackers or bread in the morning","i am in school i got no muscle or weight to lose. but then i am forced to fast. i have class buy 7am and i wake up by 530am. i just take a cup of off, hot chocolate or tea with cracker or bread in the morning",1685954912.642934,Neutral,miscellaneous
15,15,"love binge watching this guy, hes informative and really funny😆","love binge watching this guy, he informative and really funny",1685954912.648335,Positive,others
16,16,I’ll add that I also make a very cautious effort to reach my daily macros,i ll add that i also make a very cautious effort to reach my daily macro,1686041312.80851,Neutral,miscellaneous
17,17,"Great video!
I wrote an article on intermittent fasting on my website for Fitness. 

As you summarize in the end of your video, one of the greatest parts, about intermittent fasting is the simple, behavioral change of cutting out late night eating. Everybody fasts at night. Choosing to “fast” simply increases the fasting window. When someone does stick to an eating window, this usually cuts a large amount of snacking calories that people tend to eat. That, alone can create a caloric deficit and cause weight loss.

Circadian fast seems to make sense for most people on a fat loss diet. I don’t think for somebody who is starting out it would be wise to start with a short eating window. Just because it would be tough to sustain and pushing through with discipline is just a recipe for a hard rebound when the diet ends. 

For anyone, considering doing this for weight loss, I would consider starting with cutting out any late night eating, and feel free to eat a high-protein meal in the morning as you get hungry. Track your food intake and make sure you are eating high protein and healthy! Don’t forget to train hard as well and build some muscle!!","great video! i wrote an article on intermittent fasting on my website for fitness. a you summarize in the end of your video, one of the greatest parts, about intermittent fasting is the simple, behavioral change of cutting out late night eating. everybody fact at night. choosing to fast simply increase the fasting window. when someone doe stick to an eating window, this usually cut a large amount of stacking calorie that people tend to eat. that, alone can create a calorie deficit and because weight loss. circadian fast seems to make sense for most people on a fat loss diet. i don t think for somebody who is starting out it would be wise to start with a short eating window. just because it would be tough to sustain and pushing through with discipline is just a recipe for a hard rebound when the diet ends. for anyone, considering doing this for weight loss, i would consider starting with cutting out any late night eating, and feel free to eat a high protein meal in the morning a you get hungry. track your food intake and make sure you are eating high protein and healthy! don t forget to train hard a well and build some muscle!",1685954913.186859,Positive,miscellaneous
18,18,"Two issues I see on your approach. Why did you fast for 18h when recommendation is 12-16h. Second, there are studies that show that when you drink coffee right away after waking up could cause a drop in energy level in the afternoon. So, fix those things and try again.","two issue i see on your approach. why did you fast for 18h when recommendation is 12 16h. second, there are study that show that when you drink coffee right away after waking up could cause a drop in energy level in the afternoon. so, fix those thing and try again.",1685954913.189158,Negative,miscellaneous
19,19,"I swear by IF. It helped me so much. 18 hours is nothing. And I don’t restrict calories either, still lost the weight and now with IF I can maintain without any problems.","i swear by if. it helped me so much. 18 hour is nothing. and i don t restrict calorie either, still lost the weight and now with if i can maintain without any problems.",1685868513.198375,Positive,miscellaneous
20,20,me: fasting for 18hrs   *eats 12 burgers in 4 hours*,me: fasting for 18hrs *eats 12 burger in 4 hours*,1685868513.203284,Neutral,miscellaneous
21,21,bros handsome,bros handsome,1685868513.205413,Positive,others
22,22,"Love your videos as usual! The idea of also incorporating intermittent fasting into your life as a muslim (not just ramadan) is also advisable. Fasting every Monday and Thursday as well as the 13, 14, and 15th of every month, etc. I'm not entirely sure if you can link this to having any specific health benefits, but it is a spiritual practice.","love your video a usual! the idea of also incorporating intermittent fasting into your life a a muslim (not just armada) is also advisable. fasting every monday and thursday a well a the 13, 14, and 15th of every month, etc. i am not entirely sure if you can link this to having any specific health benefits, but it is a spiritual practice.",1685868513.214541,Positive,miscellaneous
23,23,i am from turkey and i have been doing intermittent fasting for 3 days only two meals are already feeling very good,i am from turkey and i have been doing intermittent fasting for 3 day only two meal are already feeling very good,1685868513.216505,Positive,miscellaneous
24,24,Ama biz gece yiyoruz yemek,ama biz gene yiyoruz yemen,1685868513.21854,Neutral,miscellaneous
25,25,"what are the banana
 condom things? 😂",what are the banana condom thing,1685868513.220596,Neutral,interrogative
26,26,Dang Matt is rocking the MacBook pro with the glowing apple LOGO... love it,dang matt is rocking the facebook pro with the glowing apple logo. love it,1685868513.228322,Positive,others
27,27,I'm gonna try this let's see what happens,i am going to try this let u see what happens,1685868513.230453,Neutral,miscellaneous
28,28,"Claim your ""here within ten days"" ticket right here.
👇",claim your here within ten day ticket right here.,1685868513.232404,Neutral,miscellaneous
29,29,I would be curious to see you try 75 Hard,i would be curious to see you try 75 hard,1685868513.243429,Neutral,miscellaneous
30,30,Would love to see you doing a 30 day eating The Recommended Amount Of Fruit and Vegetables,would love to see you doing a 30 day eating the recommended amount of fruit and vegetable,1685868513.24544,Positive,miscellaneous
31,31,You have to eat healthy fats with each meal to train the body to burn fat fuel instead of sugars from the food.,you have to eat healthy fat with each meal to train the body to burn fat fuel instead of sugar from the food.,1685868513.247476,Neutral,miscellaneous
32,32,А по русски 0:08 0:09,09,1685868513.256495,Neutral,miscellaneous
33,33,"ive lost around 15kg or 33 pounds from fasting over the span of 2 years. At first i didn't workout or exercise so the fasting only was as effective as limiting my calories, but when i started to exercise a 1 year back thats when i started to see results. Intermittent fasting has genuinely changed my life and my 2 year anniversary is coming up soon. Its important to have a healthy lifestyle and always balance everything from your diet to exercise but don't be too harsh on yourself.","i have lost around 15kg or 33 pound from fasting over the span of 2 years. at first i did not workout or exercise so the fasting only wa a effective a limiting my calories, but when i started to exercise a 1 year back that is when i started to see results. intermittent fasting ha genuinely changed my life and my 2 year anniversary is coming up soon. it important to have a healthy lifestyle and always balance everything from your diet to exercise but do not be too harsh on yourself.",1685782113.258444,Positive,miscellaneous
34,34,DO WATER FASTING!!!!!!!!,do water fasting!,1685782113.260517,Neutral,interrogative
35,35,Matt you need to try 30 days of being Vegan 😊,matt you need to try 30 day of being vegan,1685782113.262429,Neutral,miscellaneous
36,36,What app were you using?  Thanks,what app were you using thanks,1685782113.612834,Neutral,interrogative
37,37,Dikit lagi login 😄,digit lagi login,1685782113.614782,Neutral,miscellaneous
38,38,"Great video! It's inspiring to see someone explore the benefits of fasting for 30 days. Fasting holds a significant place in Islam as well, particularly during the holy month of Ramadan. Muslims around the world observe a month-long fast from dawn to sunset, abstaining from food, drink, and other physical needs. Fasting in Islam not only promotes self-discipline and empathy for the less fortunate but also has numerous health benefits. It helps detoxify the body, improves mental clarity, and enhances spiritual growth. It's fascinating to see the commonalities and unique aspects of fasting across different cultures and religions. Keep up the excellent work!","great video! it is inspiring to see someone explore the benefit of fasting for 30 days. fasting hold a significant place in islam a well, particularly during the holy month of armada. muslim around the world observe a month long fast from dawn to sunset, obtaining from food, drink, and other physical needs. fasting in islam not only promotes self discipline and empathy for the le fortunate but also ha numerous health benefits. it help detoxify the body, improves mental clarity, and enhances spiritual growth. it is fascinating to see the commonality and unique aspect of fasting across different culture and religions. keep up the excellent work!",1685782113.620774,Positive,miscellaneous
39,39,Congrats on reaching your goal! I'm jealous of how healthy your habits are (matcha tea and sushi was it?) and working out. I hope i can maintain my fast and reach my goal,contrast on reaching your goal! i am jealous of how healthy your habit are (match tea and sushi wa it ) and working out. i hope i can maintain my fast and reach my goal,1685782113.622704,Positive,miscellaneous
40,40,Ancient Hindu text the rig vedas written over 5000 years ago mention the benefit and science behind IF. Which is now being seen. We were the first ones to mention it’s benefits in our holy book on way of life..as far as benefits pharma and fast food companies are trying hard to sponsor studies against IF who would buy their statins if the body cured itself on its own,ancient hindu text the rig vega written over 50 year ago mention the benefit and science behind if. which is now being seen. we were the first one to mention it s benefit in our holy book on way of life.as far a benefit pharma and fast food company are trying hard to sponsor study against if who would buy their station if the body cured itself on it own,1685695713.624544,Neutral,miscellaneous
41,41,II do 12/ 12  Just  mqking sure i have two hours  qt the beginning and the end to  focus on what needs to be done Or just relax sometimes the fast is more 10/14 but i always make sure to not eat 2 hrs for bed as it is always needed junk because of stress,ii do 12 12 just making sure i have two hour qt the beginning and the end to focus on what need to be done or just relax sometimes the fast is more 10 14 but i always make sure to not eat 2 hr for bed a it is always needed junk because of stress,1685695713.63366,Neutral,miscellaneous
42,42,"So I do IF seasonally. In the Spring, Summer and Fall I'm a farmer and I find IF FAR too little calories for my 1500-2000 steps a day heavy work load. In the winter though it's perfect. Even when I'm not doing IF I stop eating around 6 because it makes me feel the best to stop eating long before sleep.","so i do if seasonally. in the spring, summer and fall i am a farmer and i find if far too little calorie for my 1500 20 step a day heavy work load. in the winter though it is perfect. even when i am not doing if i stop eating around 6 because it make me feel the best to stop eating long before sleep.",1685695713.636212,Positive,miscellaneous
43,43,What was that red thing on your bananas?,what wa that red thing on your banana,1685695713.637959,Neutral,miscellaneous
44,44,Muslim did this every year 😇 alhamdulilla,muslim did this every year alhamdulilla,1685695713.639693,Neutral,miscellaneous
45,45,5:47 that lady is an idiot and clearly not a doctor. Sugar actually slows you down. Eating cookies in the morning is bad. Period. Eating nothing makes your body be more alert and focused,that lady is an idiot and clearly not a doctor. sugar actually slows you down. eating cooky in the morning is bad. period. eating nothing make your body be more alert and focused,1685695713.641514,Negative,miscellaneous
46,46,"I do fasting in Ramadan and I think it does reduce my weight but of course you need to consider what you eat. 

What I like about fasting, according to my experience, is that I am more aware about what I eat. Like ""does it give enough energy for the whole day"", ""how about the nutrition"", ""can I be hydrated enough?""etc. It is because I usually eat whatever I want as long as it makes me full 😅

Of course the down side is inevitable. When fasting, especially at the beginning at Ramadan, my energy level is low during mid day. But it gets better and better because my body start to adapt with the condition.","i do fasting in armada and i think it doe reduce my weight but of course you need to consider what you eat. what i like about fasting, according to my experience, is that i am more aware about what i eat. like doe it give enough energy for the whole day , how about the nutrition , can i be hydrate enough etc. it is because i usually eat whatever i want a long a it make me full of course the down side is inevitable. when fasting, especially at the beginning at armada, my energy level is low during mid day. but it get better and better because my body start to adapt with the condition.",1685609313.643547,Positive,miscellaneous
47,47,Considering the idea behind this to lower the amount of instances of insulin spikes.  If anyone is trying to lose weight or reverse diabetes this is the way to do it. Couple it with a keto-ish lifestyle and you're golden.,considering the idea behind this to lower the amount of instance of insulin spikes. if anyone is trying to lose weight or reverse diabetes this is the way to do it. couple it with a veto ish lifestyle and you are golden.,1685609313.645444,Positive,miscellaneous
48,48,"You can die from this.
I know someone who did.",you can die from this. i know someone who did.,1685609313.647399,Negative,miscellaneous
49,49,"I had a terrible habit of eating *anything* before bed. It basically became a ""bedtime routine"". The problem is that is also dragged that bedtime routine: I'd be on the phone/tablet longer because that extra bit of caloric intake afforded me a few more minutes (hours!) of ""awakeness"". And the problem with that is that it delayed actual sleep. Additionally, it's well-known that eating before bed does affect your sleep quality. Eating late was truly a double whammy!
A few weeks ago, I decided to stop eating after dinner. We eat dinner fairly late here (we usually wrap up dinner around 8pm), and I usually just go till around 9:30-10am without eating without a problem. I've noticed my sleep quality increased, my actual sleep time also increased, and I feel overall less bloated. I have lost a few pounds with this as well, but I see that only as a side benefit, not my main goal (reducing my caloric intake and working out more is my intended strategy for weight reduction).
Anyway, you don't have to go 18h: I aim for 13h (closer to the circadian rhythm approach) and I'm noticed a lot of benefits from it already–probably most of the ones being widely touted as the main IF benefits, tbh… ;)","i had a terrible habit of eating *anything* before bed. it basically became a bedside routine . the problem is that is also dragged that bedside routine: i would be on the phone tablet longer because that extra bit of calorie intake afforded me a few more minute (hours!) of awareness . and the problem with that is that it delayed actual sleep. additionally, it is well known that eating before bed doe affect your sleep quality. eating late wa truly a double grammy! a few week ago, i decided to stop eating after dinner. we eat dinner fairly late here (we usually wrap up dinner around 8pm), and i usually just go till around 10am without eating without a problem. i have noticed my sleep quality increased, my actual sleep time also increased, and i feel overall le bloated. i have lost a few pound with this a well, but i see that only a a side benefit, not my main goal (reducing my calorie intake and working out more is my intended strategy for weight reduction). anyway, you do not have to go 18h: i aim for 13h (closer to the circadian rhythm approach) and i am noticed a lot of benefit from it already probably most of the one being widely touted a the main if benefits, to be honest )",1685609313.649312,Neutral,miscellaneous
50,50,4:02 Which app are you using?,which app are you using,1685522913.651404,Neutral,interrogative
51,51,Yo Matt make a video on going to bed at 8 pm everyday!!!,yo matt make a video on going to bed at 8 pm everyday!,1685522913.6533,Neutral,miscellaneous
52,52,"I believe that intermittent fasting should be used as a tool to allow your body to digest, reset, and recover.","i believe that intermittent fasting should be used a a tool to allow your body to digest, reset, and recover.",1685522913.655216,Positive,miscellaneous
53,53,"May I ask, does fasting for longer periods like 3 days or 1 week, makes you loose weight, became thinner and looks sickly? OR can we do fruit fasting or fruit / vegetable juice fasting?/","may i ask, doe fasting for longer period like 3 day or 1 week, make you loose weight, became thinner and look sickle or can we do fruit fasting or fruit vegetable juice fasting",1685522913.657083,Neutral,miscellaneous
54,54,5:55 my thought just like Dora,my thought just like dora,1685522913.659056,Neutral,miscellaneous
55,55,"you felt low energy, because you eat carbs in your feeding window. try not to eat any carbs - no rice, bread, flour, pasta, potato, beans, oatmeal.. (carbs in cruciferous vegetable don't count) for like 2-3 weeks prior to switching to 18-6 if and  then eat only meat from ruminant animals - those with more then 1 stomach and cruciferous vegetables, whole eggs and animal fat. you will see, that you will be full of energy and won't have any crashes or feeling a need for coffee","you felt low energy, because you eat car in your feeding window. try not to eat any car no rice, bread, flour, pasta, potato, beans, oatmeal. (cars in cruciferous vegetable do not count) for like 2 3 week prior to switching to 18 6 if and then eat only meat from dominant animal those with more then 1 stomach and cruciferous vegetables, whole egg and animal fat. you will see, that you will be full of energy and will not have any crash or feeling a need for coffee",1685522914.0117,Neutral,miscellaneous
56,56,Does anyone know what blood pressure monitor he’s using? Never seen one like that before I wanna buy it lol,doe anyone know what blood pressure monitor he s using never seen one like that before i want to buy it lol,1685522914.012989,Neutral,miscellaneous
57,57,"I keep coming back and check if u uploaded a video 😅 and not subscribe,  but then early this morning I was like I really like this man!  Who does all these experiments , to see the best version of himself, that's what I'm tryna be  , I was like damn,  and I subscribed at 4 am 😂🙈♡","i keep coming back and check if you uploaded a video and not subscribe, but then early this morning i wa like i really like this man! who doe all these experiment , to see the best version of himself, that is what i am try be , i wa like damn, and i subscribed at 4 am",1685522914.014169,Positive,miscellaneous
58,58,we are allnmuslims fast every year .. for 30 day from the rise of sun to the sunset ... you need to be a muslim .. all your habits in our religion,we are allnmuslims fast every year . for 30 day from the rise of sun to the sunset . you need to be a muslim . all your habit in our religion,1685522914.015272,Neutral,miscellaneous
59,59,what app did you use?,what app did you use,1685522914.016382,Neutral,interrogative
60,60,We love that Zero could help guide you in your IF journey — congrats on your 30-day 18:6 streak! 🔥Can't wait to hear more about your ongoing year of fasting.,we love that zero could help guide you in your if journey contrast on your 30 day streak! cannot wait to hear more about your ongoing year of fasting.,1685522914.017451,Positive,miscellaneous
61,61,i think 12/12 is enough window (at least for me) i am able to still have enough energy to do daily activities and 3 - 4 workout per week after 6 pm.,i think 12 12 is enough window (at least for me) i am able to still have enough energy to do daily activity and 3 4 workout per week after 6 pm.,1685522914.018506,Positive,miscellaneous
62,62,Thanks,thanks,1685522914.019564,Neutral,others
63,63,"I’ve been fasting for the past few years, anywhere between 16-25 hours depending on the day and my mood. I initially lost a bunch of weight but unfortunately for the scientist in me, I stopped drinking at the same time, so I can’t measure the two factors independently of one another. For reference I was drinking a bottle of wine most nights 😂

I’ve recently started building up a fair amount of muscle, so it is possible, even on a vegan diet! I’ve still got a bit of of ponch, so the fasting alone won’t magically give you a flat stomach, but as Mark says, I don’t really snack anymore, and it makes you really value your one or two meals and encourages you to really think about what you’re fueling yourself with.","i ve been fasting for the past few years, anywhere between 16 25 hour depending on the day and my mood. i initially lost a bunch of weight but unfortunately for the scientist in me, i stopped drinking at the same time, so i can t measure the two factor independently of one another. for reference i wa drinking a bottle of wine most night i ve recently started building up a fair amount of muscle, so it is possible, even on a vegan diet! i ve still got a bit of of porch, so the fasting alone won t magically give you a flat stomach, but a mark says, i don t really snack anymore, and it make you really value your one or two meal and encourages you to really think about what you re fueling yourself with.",1685522914.020627,Neutral,miscellaneous
64,64,I'am living 16:8 all the time and it is great,i'am living all the time and it is great,1685436514.021722,Positive,miscellaneous
65,65,"""what the fuck?"" perfectly summarized.",what the fuck perfectly summarized.,1685436514.022841,Negative,others
66,66,I’ve been fasting for a year and fast for 20hrs usually and lost 36lbs so far. I have about 80lbs to go,i ve been fasting for a year and fast for 20hrs usually and lost 36lbs so far. i have about 80lbs to go,1685436514.023895,Neutral,miscellaneous
67,67,"I know its a big ask, but I would love to see you go back to your starting weight, and do a different ""fad"" diet to see how your ending graphs of weight and fat% differer. Love your videos man, long time subscriber.","i know it a big ask, but i would love to see you go back to your starting weight, and do a different fad diet to see how your ending graph of weight and fat% differed. love your video man, long time subscriber.",1685436514.024943,Positive,miscellaneous
68,68,"I hardly let myself get hungry and always eat past full. Very bad habit/borderline eating disorder.

I have fasted in the past but I work out in the morning and it makes it difficult to lift while fasting.",i hardly let myself get hungry and always eat past full. very bad habit borderline eating disorder. i have lasted in the past but i work out in the morning and it make it difficult to lift while fasting.,1685436514.02642,Negative,miscellaneous
69,69,"I have been fasting for about three months now and I lost 22 pounds. I believe Early time restricted fasting is the way to go (you eat during morning/early afternoon and stop eating for the rest of the day. Three tips I can give to whoever is thinking about doing it:
-Eat enough protein which will make you feel less hungry throughout the day;
-Drink enough water (2,5L per day on my case)
- Keep your health in check: get vitamin deficiency tested and supplement what is missing;","i have been fasting for about three month now and i lost 22 pounds. i believe early time restricted fasting is the way to go (you eat during morning early afternoon and stop eating for the rest of the day. three tip i can give to whoever is thinking about doing it: eat enough protein which will make you feel le hungry throughout the day drink enough water (2,5l per day on my case) keep your health in check: get vitamin deficiency tested and supplement what is missing",1685436514.028404,Neutral,miscellaneous
70,70,Hey Matt do a 30 day OMAD aka one meal a day. I been doing it for 30 days and lost 25 lbs and I feel amazing..,hey matt do a 30 day mad aka one meal a day. i been doing it for 30 day and lost 25 lb and i feel amazing.,1685436514.029468,Positive,miscellaneous
71,71,"I have a tendency to do Intermittent intermittent fasting. From what I've learned, everything is really so personal and you have to figure out what is right for you. And what is right for you may also change. That's why it's important to be really in tune with your body and what it needs. There are periods of time when Intermittent fasting and an occasional extended fast feels right, and there are times when I get very clear signals that I need a little bit more than usual. Taking this more intuitive approach to it has been the best thing for me.","i have a tendency to do intermittent intermittent fasting. from what i have learned, everything is really so personal and you have to figure out what is right for you. and what is right for you may also change. that is why it is important to be really in tune with your body and what it needs. there are period of time when intermittent fasting and an occasional extended fast feel right, and there are time when i get very clear signal that i need a little bit more than usual. taking this more intuitive approach to it ha been the best thing for me.",1685436514.030529,Positive,miscellaneous
72,72,MATT YOU ARE NOT A NUTRITION SCIENTIST,matt you are not a nutrition scientist,1685436514.03159,Negative,corrective
73,73,"Matt's 30 day vids are always class, cheers mate on another good vid!","matt's 30 day kid are always class, cheer mate on another good vid!",1685436514.032654,Positive,miscellaneous
74,74,it is only a method. for me it does not work for me and I can't adhere to it. It is very good for others tho,it is only a method. for me it doe not work for me and i cannot adhere to it. it is very good for others though,1685436514.033766,Neutral,miscellaneous
75,75,"Also, try to eat healthier than you were! Not eating healthy will definitely not help. Go for wholefoods and stay away from sugar","also, try to eat healthier than you were! not eating healthy will definitely not help. go for wholefoods and stay away from sugar",1685436514.200285,Neutral,miscellaneous
76,76,Intermittent fasting - water = Ramadan ❤,intermittent fasting water armada,1685350114.560115,Neutral,miscellaneous
77,77,"I started intermittent fasting briefly last year on a 3 week road trip through Spain (Spanish food is not Mexican food🤮)

I started again this year on Feb 1. I did 20/4 method. 
I lost 10lbs the first week. It was water weight of course. But my body had to adjust to the new eating cycles. My body fat declined even tho my weight stayed static. And after the 3 week I started to lose 2lbs a week. Fast forward to now 16 weeks later I’m down 32lbs with NO exercise and semi-healthy eating. 

There’s proof that fasting is the natural human eating cycle. Even the Bible and Quran preach it for that reason.",i started intermittent fasting briefly last year on a 3 week road trip through spain (spanish food is not mexican food ) i started again this year on feb 1. i did 20 4 method. i lost 10lbs the first week. it wa water weight of course. but my body had to adjust to the new eating cycles. my body fat declined even though my weight stayed static. and after the 3 week i started to lose 2lbs a week. fast forward to now 16 week later i m down 32lbs with no exercise and semi healthy eating. there s proof that fasting is the natural human eating cycle. even the bible and quran preach it for that reason.,1685350114.562414,Positive,miscellaneous
78,78,This just called Ramadan.,this just called armada.,1685350114.564465,Neutral,miscellaneous
79,79,"Ffs Matt, new clothes 🙄😂","ff matt, new clothes",1685350114.566363,Neutral,others
80,80,@5:46 It's better to eat refined sugar filled foods than nothing!? Yeah okay. 😆,it is better to eat refined sugar filled food than nothing! yeah okay.,1685350114.568386,Positive,miscellaneous
81,81,hey matt can you make a video on backpain I saw that you were working on your bed I also do that and have some form of back pain if you are facing the same issue please make a video about it.,hey matt can you make a video on backpack i saw that you were working on your bed i also do that and have some form of back pain if you are facing the same issue please make a video about it.,1685350114.570252,Neutral,miscellaneous
82,82,"The best thing about Zero is that it allows you to fast for a decided period of time. Here's the deal - you DON'T fast based on time on your clock; just use Zero's timer-like approach. Especially when you are starting with ImF! So there's no ""oh, I was supposed to not eat after 4 PM, now what?!"" fuck ups. ;)","the best thing about zero is that it allows you to fast for a decided period of time. here is the deal you do not fast based on time on your clock just use zero's timer like approach. especially when you are starting with imf! so there is no oh, i wa supposed to not eat after 4 pm, now what ! fuck ups. )",1685350114.572241,Positive,miscellaneous
83,83,"Thank you so much for talking about this (very) controversial subject ! 
I don't think intermittent fasting is necessarily bad but for people with previous or current ED like myself it can do more harm than good because waiting to be extremely hungry can cause binges.
I did intermittent fasting for 3 years but I feel so much better now that I stopped and eat 3 meals a day. I used to feel so tired during the afternoon but now my energy levels are more stable throughout the day.",thank you so much for talking about this (very) controversial subject ! i do not think intermittent fasting is necessarily bad but for people with previous or current ed like myself it can do more harm than good because waiting to be extremely hungry can cause bingen. i did intermittent fasting for 3 year but i feel so much better now that i stopped and eat 3 meal a day. i used to feel so tired during the afternoon but now my energy level are more stable throughout the day.,1685350114.574111,Positive,miscellaneous
84,84,Samba in background! 🇧🇷🇧🇷🇧🇷 start 8:36,samba in background! start,1685263714.575976,Neutral,miscellaneous
85,85,Muslims be like : First Time?,muslim be like : first time,1685263714.589162,Neutral,others
