,Unnamed: 0,original,pre_processed_text,time_parsed,predictions,sentiments
31,31,"In the 1970s computing was typing on a typewriter style keyboard using a comand line interface (CP/M, later MS Dos, etc).

In the 1980s we slowly moved to WIMP (Windows, Icons Menus, Pointers). The Mouse became the primery input paradigm. Mac, Windows, Amiga, ST, Archimedies.

The iPhone/iPad switched us to touch displays. Laptops/desktops are still around. But I bet most people, outside a work/education environment, do 90% of their computing on a Phone/Tablet.

Music, video, photography, web browsing, email, gaming, etc. I bet phone/text is the least used function of most Smartphones.

Which brings us to the Vision Pro. The next paradigm shift in computing. Essentially keyboard to mouse to touch to (largely) voice (Siri AI probably more important here than AR itself), but certainly combined with a virtual mixed reality display and the eye tracking.

You can see where Apple are heading with this.

Time will tell when future SE iterations arrive and if competitors like Google, MicroSoft, Sansung, Amazon, and Meta respond to such a paradigm shift.","in the 1970s computing wa typing on a typewriter style keyboard using a command line interface (cp m, later m dos, etc). in the 1980s we slowly moved to imp (windows, icon menus, pointers). the mouse became the primary input paradigm. mac, windows, align, st, archimedies. the iphone ipad switched u to touch displays. laptop desktop are still around. but i bet most people, outside a work education environment, do 90% of their computing on a phone tablet. music, video, photography, web browsing, email, gaming, etc. i bet phone text is the least used function of most smartphones. which brings u to the vision pro. the next paradigm shift in computing. essentially keyboard to mouse to touch to (largely) voice (sir ai probably more important here than ar itself), but certainly combined with a virtual mixed reality display and the eye tracking. you can see where apple are heading with this. time will tell when future se iteration arrive and if competitor like google, microsoft, samsung, amazon, and meta respond to such a paradigm shift.",1686212397.680787,miscellaneous,Neutral
32,32,this is a 2007 moment when I PHONE was presented before the world which changed everything,this is a 2007 moment when i phone wa presented before the world which changed everything,1686212397.683107,miscellaneous,Neutral
33,33,Its good tech but i do not trust Apple,it good tech but i do not trust apple,1686212337.685439,miscellaneous,Negative
34,34,No. A solution looking for a problem.,no. a solution looking for a problem.,1686212097.687769,miscellaneous,Neutral
35,35,Appleverse 😂,appleverse,1686212097.690101,miscellaneous,Neutral
36,36,I don't know why you would buy this over a high end VR headset that actually plays games. For this price it's basicaly a useless gadget.,i do not know why you would buy this over a high end vr headset that actually play games. for this price it is basically a useless gadget.,1686211977.692417,miscellaneous,Negative
37,37,"Nah.... This is not next iphone. Far from it. It has exactly same issues as google glass had. It is cool tech that looks like magic, adresses some of the issues people had with metaverse... But ultimately it has exactly the same flaws. This tech has to become 10 times smaller or even implanted to become next iphone.","nah. this is not next iphone. far from it. it ha exactly same issue a google glass had. it is cool tech that look like magic, address some of the issue people had with metaverse. but ultimately it ha exactly the same flaws. this tech ha to become 10 time smaller or even implanted to become next iphone.",1686211917.694726,miscellaneous,Neutral
38,38,Apple is all avout execution and perfection. Many times it is old things rethought around the users and patented to make sure it will be hard to copy the new ideas),apple is all about execution and perfection. many time it is old thing thought around the user and patented to make sure it will be hard to copy the new ideas),1686211917.697044,miscellaneous,Positive
39,39,"Well 30% of the world has myopia, and that number is projected to hit 50% by 2050, so the vision pro needs to be comfortable for bespectacled users, otherwise that's a large portion of the market that just isn't going to touch this product. The tech is pretty amazing tho, the next step now is to make it compact, because it is still quite clunky in it's current form.","well 30% of the world ha utopia, and that number is projected to hit 50% by 2050, so the vision pro need to be comfortable for bespectacled users, otherwise that is a large portion of the market that just is not going to touch this product. the tech is pretty amazing though, the next step now is to make it compact, because it is still quite clunky in it is current form.",1686211797.699355,miscellaneous,Positive
40,40,Not at that price it isn't.,not at that price it is not.,1686211677.971328,miscellaneous,Negative
41,41,the reason for these interviews are to create FOMO,the reason for these interview are to create como,1686211437.974039,miscellaneous,Neutral
42,42,"The key is the isolation, watching movies and sports for those who are wealthy is a group event, not an individual thing. Yes some wealthy are alone but the market shrinks. Time😢will tell but possibly a big mistake here, a turning point because they have put their heart and soul into this","the key is the isolation, watching movie and sport for those who are wealthy is a group event, not an individual thing. yes some wealthy are alone but the market shrinks. time will tell but possibly a big mistake here, a turning point because they have put their heart and soul into this",1686211437.976351,miscellaneous,Neutral
43,43,eventually it will be a light device like common glasses and cheap ;),eventually it will be a light device like common glass and cheap ),1686211317.978609,miscellaneous,Neutral
44,44,"Rare to see this channel fanboying over a product.

To enter mainstream, it has to (obviously) be less cheaper, less bulker (for AR, there's no need for all that tech... Google Glass had it right) and just as crucially, have USPs. Outside of certain industries' simulation training, it's a solution looking for a problem.","rare to see this channel annoying over a product. to enter mainstream, it ha to (obviously) be le cheaper, le bunker (for ar, there is no need for all that tech. google glass had it right) and just a crucial, have uses. outside of certain industries' simulation training, it is a solution looking for a problem.",1686211317.980872,miscellaneous,Neutral
45,45,The last point is truly thoughtprovoking. I remeber one episode of ghost in the shell stand alone complex where they visit a mental institution for for kids with a new kind of autism brought on by an overdependence on cyberbrain technology. I sure hope this is not becoming a rality now,the last point is truly thoughtprovoking. i remember one episode of ghost in the she will stand alone complex where they visit a mental institution for for kid with a new kind of autism brought on by an overdependence on cyberbrain technology. i sure hope this is not becoming a reality now,1686211317.983117,miscellaneous,Negative
46,46,This will age badly. It's the next iPad.,this will age badly. it is the next ipad.,1686211257.985387,miscellaneous,Negative
47,47,good intent but wrong direction.,good intent but wrong direction.,1686211017.987645,others,Negative
48,48,Its gonna flop,it going to flop,1686210897.989373,miscellaneous,Negative
49,49,Shoulda called it iSight,should called it sight,1686210897.99107,interrogative,Neutral
50,50,It’s not the next iPhone. Come on. Even apple know it’s not.,it s not the next iphone. come on. even apple know it s not.,1686210897.992771,miscellaneous,Negative
51,51,"Sega fails
Google fails
Facebook fails
Samsung give it almost for free, and fail.
Microsoft kind of fail.
Apple won't be any different.
Why?
Because this technology is no a good idea.
It kill you eye, it is uncomfortable, battery consume is heavy, it is claustrophobic for many people, it gives you a head aches...
Owww nice software, save it for a neural device connected to you phone, by now it is just paid propaganda about something almost useless...","sega fails google fails facebook fails samsung give it almost for free, and fail. microsoft kind of fail. apple will not be any different. why because this technology is no a good idea. it kill you eye, it is uncomfortable, battery consume is heavy, it is claustrophobic for many people, it give you a head acres. oww nice software, save it for a neural device connected to you phone, by now it is just paid propaganda about something almost useless.",1686210897.994475,miscellaneous,Negative
52,52,there wont be any revolution unless its a device for everyone,there will not be any revolution unless it a device for everyone,1686210897.996177,miscellaneous,Neutral
53,53,"This will only succed cause apple fans buy anything at any price point. Wether it's good or not doesn't matter.

This product does nothing that a phone/pc doesn't. It's pointless.",this will only succeed because apple fan buy anything at any price point. whether it is good or not doe not matter. this product doe nothing that a phone pc doe not. it is pointless.,1686210897.997884,miscellaneous,Neutral
54,54,Its cheap are you cray Iphone 14 pro max is 2000e...,it cheap are you gray iphone 14 pro max is 20e.,1686210897.99957,miscellaneous,Neutral
55,55,"it will take a few generations, but i really think apple has done it again. this will create new industries and drive computing for the next 20 years. just like they've done before.","it will take a few generations, but i really think apple ha done it again. this will create new industry and drive computing for the next 20 years. just like they have done before.",1686210898.001275,miscellaneous,Positive
56,56,"The main issue that Snazzy Labs pointed out that I tend to agree with is that this requires intentionality to use. A phone is something you can pick up and use for a minute and put down again. This is something you need to intentionally decide to wear for a while when you want to use it, so nobody is going to be wearing it while packing their suitcase in a hotel room to conveniently pickup a FaceTime call on it. At least not until it’s not much different than wearing glasses and has all day battery life. It’s going to improve and get cheaper and I expect it will slowly get traction over time, like the AirPods and Apple Watch, especially if they listen to feedback and invest in it accordingly. But it’s not the new iPhone any time soon.","the main issue that snarky lab pointed out that i tend to agree with is that this requires intentionally to use. a phone is something you can pick up and use for a minute and put down again. this is something you need to intentionally decide to wear for a while when you want to use it, so nobody is going to be wearing it while packing their suitcase in a hotel room to conveniently pickup a peacetime call on it. at least not until it s not much different than wearing glass and ha all day battery life. it s going to improve and get cheaper and i expect it will slowly get traction over time, like the airport and apple watch, especially if they listen to feedback and invest in it accordingly. but it s not the new iphone any time soon.",1686210898.002968,miscellaneous,Positive
57,57,"This device will always be unattainable for people with normal wages but the devices will always be there, just like the mac pro.","this device will always be unattainable for people with normal wage but the device will always be there, just like the mac pro.",1686210898.004674,miscellaneous,Positive
58,58,Really nice video! Thnx for your insight!,really nice video! thx for your insight!,1686210898.006388,others,Positive
59,59,No,no,1686210898.008084,others,Neutral
60,60,These glasses are more of a computer than any other manufacturer device. What I think is the right solution right now. Facebook Quest is a game console and other devices mainly external displays or glass version of mobile use.,these glass are more of a computer than any other manufacturer device. what i think is the right solution right now. facebook quest is a game console and other device mainly external display or glass version of mobile use.,1686210898.290062,miscellaneous,Neutral
61,61,"While technologically impressive, the problem with this is it doesn't have any proper practical uses. It doesn't solve any problems. It hasn't solved any complications that it has caused by itself. Having a portable slab in your pocket with most of those features has been a thing for over a decade. It's also less cumbersome and obstructive.","while technologically impressive, the problem with this is it doe not have any proper practical uses. it doe not solve any problems. it ha not solved any complication that it ha caused by itself. having a portable slab in your pocket with most of those feature ha been a thing for over a decade. it is also le cumbersome and obstructive.",1686210898.291859,miscellaneous,Negative
62,62,"From a security prospective, i would hope there is some sort of an account check, or a prompt to allow display of Mac screens. Otherwise, can sneak up and hijack someones screen.","from a security prospective, i would hope there is some sort of an account check, or a prompt to allow display of mac screens. otherwise, can sneak up and hijack someone is screen.",1686210898.293555,miscellaneous,Neutral
63,63,"in every great technology breakthru for day to day application, it will transform human lives...both for the good and the bad, so the discerned must choose to do more on the former, rather than the latter.","in every great technology breakthru for day to day application, it will transform human lives.both for the good and the bad, so the dispersed must choose to do more on the former, rather than the latter.",1686210898.295239,miscellaneous,Positive
64,64,"So its an early adopter ""eat apples dog food"" product with a new o/s and clunky design with little use case software available. However it is a million times better than meta, I just can not understand Zuckerberg's thinking to rename Facebook? I think in five years time it will be like putting on sunglasses ?","so it an early adopted eat apple dog food product with a new o s and clunky design with little use case software available. however it is a million time better than meta, i just can not understand zuckerberg's thinking to rename facebook i think in five year time it will be like putting on sunglass",1686210898.296922,miscellaneous,Negative
65,65,"This is first gen technology! With the advent of AI things are going to get insane over the next couple of decades or we're heading for WW3. Either way, change is coming faster than ever before.","this is first gen technology! with the advent of ai thing are going to get insane over the next couple of decade or we are heading for ww3. either way, change is coming faster than ever before.",1686210898.298598,miscellaneous,Positive
66,66,"With the app apropiatte for ophthalmologists can be very cheep tool... and for others too. Is not expensive is disruptive. What is the price of disruptives things at every moment? Like Plasma TV 60 "", blue ray, firsts microcomputers, firsts laser printer, etc The knowlegs for made this thing, about eye and percepción from brain of vision is insane.","with the app apropiatte for ophthalmologist can be very sheep tool. and for others too. is not expensive is disruptive. what is the price of disruptive thing at every moment like plasma tv 60 , blue ray, first microcomputers, first laser printer, etc the knowledge for made this thing, about eye and percepci n from brain of vision is insane.",1686210898.300268,miscellaneous,Neutral
67,67,"Disagree. Its an absolute gimmick. No one needs a phone, laptop, and TV hooked onto a heavy headset that gives you headaches and eye problems. We already have all these devices in more compact forms with much better battery-life. With that price I can get a 75inch TV, a PS5 and everything else that I'd need for what the headset does. People need to stop overhyping Apple products.","disagree. it an absolute gimmick. no one need a phone, laptop, and tv hooked onto a heavy headset that give you headache and eye problems. we already have all these device in more compact form with much better battery life. with that price i can get a 75inch tv, a ps5 and everything else that i would need for what the headset does. people need to stop overlying apple products.",1686210898.301958,miscellaneous,Negative
68,68,the cinema bisunesa would be crashed in a few years after this launcing.,the cinema bisunesa would be crashed in a few year after this launching.,1686210898.303627,miscellaneous,Negative
69,69,lol these apple shillers are trying so hard,lol these apple killer are trying so hard,1686210898.305315,miscellaneous,Negative
70,70,i just want to feel like iron man when i am using it thats it ... and 3500 dollars is nothing compared to that feeling,i just want to feel like iron man when i am using it that is it . and 3500 dollar is nothing compared to that feeling,1686210898.306984,miscellaneous,Neutral
71,71,"The best part of early VR devices (oculus dk2 for ex) was that i was able to meet people all over the world. I was talking to people from france, monaco, us. I met a 70 yo man who came daily into VR to talk to young people. Not only do i think VR won't cause ilosation, it will solve isolation. Just need to build the environment around sharing experiences and making devices talk to each other.","the best part of early vr device (oculi dk2 for ex) wa that i wa able to meet people all over the world. i wa talking to people from france, monaco, us. i met a 70 yo man who came daily into vr to talk to young people. not only do i think vr will not because location, it will solve isolation. just need to build the environment around sharing experience and making device talk to each other.",1686210898.308662,miscellaneous,Positive
72,72,"I am left to wonder how much closer humanity would be to a cure for cancer if Apple had devoted so much time, research and money to that endeavour.","i am left to wonder how much closer humanity would be to a cure for cancer if apple had devoted so much time, research and money to that endeavour.",1686210898.310331,miscellaneous,Neutral
73,73,"These are indeed the indications that the Smartphone is gradually becoming a integrated part of the glasses or through real holography on your wrist.

I cannot wait to see the day that people actually talk to one another and not looking at their phones. 
Such a nightmare this world has become with the Smartphone.",these are indeed the indication that the smartphone is gradually becoming a integrated part of the glass or through real photography on your wrist. i cannot wait to see the day that people actually talk to one another and not looking at their phones. such a nightmare this world ha become with the smartphone.,1686210898.312006,miscellaneous,Positive
74,74,lots of people sitting around getting health issues and not spending real life time with family and friends. sad.,lot of people sitting around getting health issue and not spending real life time with family and friends. sad.,1686210898.313686,others,Negative
75,75,Meta must be kicking themselves right now 😂,meta must be kicking themselves right now,1686210898.315364,miscellaneous,Negative
76,76,"iPod meets Tony Stark meets Black Mirror 🤯🤯🤯 they did it again. This will be the next iPhone. Tim Cook was a great choice, a true visionary that embodies apples ideals and values.","ipod meet tony stark meet black mirror they did it again. this will be the next iphone. tim cook wa a great choice, a true visionary that embodies apple ideal and values.",1686210898.317082,miscellaneous,Positive
77,77,What if it explodes? We happen to see in some smartphones when they overheat.😮,what if it explodes we happen to see in some smartphones when they overhead.,1686210898.318765,miscellaneous,Neutral
78,78,"0:26 Wow, using the  feedback from apple fans at an apple event is meaningless, apple could punch them and they would still simp","wow, using the feedback from apple fan at an apple event is meaningless, apple could punch them and they would still sim",1686210898.320447,miscellaneous,Negative
79,79,"The difference is that the original iPhone debuted in 2007 for 880USD (adjusted for inflation), which was a price that a decent proportion of the population could afford. 3,500USD on the other hand? Yeah nah, the adoption rate is going to be anemic.","the difference is that the original iphone debuted in 2007 for 880usd (adjusted for inflation), which wa a price that a decent proportion of the population could afford. 3,500usd on the other hand yeah nah, the adoption rate is going to be anemia.",1686210898.322122,miscellaneous,Neutral
80,80,Looks absolutely amazing. Can’t wait for non pro version.,look absolutely amazing. can t wait for non pro version.,1686210898.609883,others,Positive
81,81,Because you say so...,because you say so.,1686210898.611736,miscellaneous,Neutral
82,82,Sorry but the apple vision is too flashy and overpriced. I will buy the quest 3 instead,sorry but the apple vision is too flashy and overpriced. i will buy the quest 3 instead,1686210898.61346,miscellaneous,Negative
83,83,"No. Motion sickness happens because your brain's visual cortex is receiving movement perception while the other parts of the somatosensory and proprioceptive systems are not and the brain gets confused and assumes you have, anthropologically speaking, ingested the wrong mushroom and it induces purging in an attempt to save your life. End of non-Apple-fanboy-Mansplanation.
The things you know when you spend your thousands on a proper education and not on Apple stuff...","no. motion sickness happens because your brain's visual cortex is receiving movement perception while the other part of the somatosensory and proprioceptive system are not and the brain get confused and assumes you have, anthropological speaking, ingested the wrong mushroom and it induces purging in an attempt to save your life. end of non apple fancy mansplanation. the thing you know when you spend your thousand on a proper education and not on apple stuff.",1686210898.615146,miscellaneous,Negative
84,84,"Only in the west.
.. killing own people by selves...",only in the west. . killing own people by selves.,1686210898.616839,miscellaneous,Negative
85,85,"Mehn, I wish I had AI cold fusion to read everything to me","men, i wish i had ai cold fusion to read everything to me",1686210898.618526,miscellaneous,Neutral
86,86,"WOW, people used to say Apple of the people that made things and all others copy them, (they are not right at all), but now it is telling as it is Apple steal from others and take them down with lawyers if they fight back.

this is the down fall of Apple, they are a dieing company, and this is only getting sold as they got a lot of stupid people buying the stuff they make.","wow, people used to say apple of the people that made thing and all others copy them, (they are not right at all), but now it is telling a it is apple steal from others and take them down with lawyer if they fight back. this is the down fall of apple, they are a diving company, and this is only getting sold a they got a lot of stupid people buying the stuff they make.",1686210898.620211,miscellaneous,Negative
87,87,I’ll take stupid opinion videos for 2000 Trebek,i ll take stupid opinion video for 20 tree,1686210898.621907,miscellaneous,Negative
88,88,I imagine it like smart tv software and  tabs where you are actually  very limited in  what you can click and move and navigate and scroll. I get with eyes and with pitch movement but limited to their constraints in terms inside certain  panels areas what icons you can click and move I feel once that initial interest wears off that will be the bottleneck,i imagine it like smart tv software and tab where you are actually very limited in what you can click and move and navigate and scroll. i get with eye and with pitch movement but limited to their constraint in term inside certain panel area what icon you can click and move i feel once that initial interest wear off that will be the bottleneck,1686210898.623582,miscellaneous,Neutral
89,89,Hi,hi,1686210898.625279,others,Neutral
90,90,"if the size starts getting smaller with the newer generation every year, at one point it Vision Pro can be used as eyeglasses, then it will replace smartphones and computers. I think this future is near.","if the size start getting smaller with the newer generation every year, at one point it vision pro can be used a eyeglasses, then it will replace smartphones and computers. i think this future is near.",1686210898.626955,miscellaneous,Neutral
91,91,"Another gadget designed to disconnect us from the real world. 

Life will never be the same again. We are getting more and more disconnected with real world and human interaction. God, I miss the 90s.","another gadget designed to disconnect u from the real world. life will never be the same again. we are getting more and more disconnected with real world and human interaction. god, i miss the 90s.",1686210898.628648,miscellaneous,Negative
92,92,Hah😂,ha,1686210898.630338,others,Neutral
93,93,"Imagining like 5 or 10 years into the future, having these glasses for below 1500$, 8h battery, half of the current weight, I can't imagine anyone not buying one. You might be even saving money buying this and not buying monitors, tv's and maybe even computers in some cases","imagining like 5 or 10 year into the future, having these glass for below 1500$, 8h battery, half of the current weight, i cannot imagine anyone not buying one. you might be even saving money buying this and not buying monitors, tv's and maybe even computer in some case",1686210898.632015,miscellaneous,Neutral
94,94,"This is still a too early tech, but it is moving definitely in the right direction. When this tech is mature enough to fit into a size of slightly thicker eye glasses and can work whole day, then will it truly changes human life and productivity.","this is still a too early tech, but it is moving definitely in the right direction. when this tech is mature enough to fit into a size of slightly thicker eye glass and can work whole day, then will it truly change human life and productivity.",1686210898.633702,miscellaneous,Positive
95,95,"Hey Dagogo, thanks for your take on the Vision Pro, your content is great! However, I am not convinced here. 

Sure, this product is a marvel of engineering, but still I do not get people walking around with high-tech ski goggles and a powerbank in their pockets while having their hand movements tracked all the time (besides, we have the GDPR in Europe so good luck recording everyone around you without consent). This should work as an indoor product but imho will not replace the smartphone anytime soon. 

Also, I think it is unusual for Apple to announce a product that will only be available in half a year’s time. This shows there are challenges they have not tackled yet. And pricewise, remember that the first iPhone was $499 and prices have generally risen with subsequent generations. So I don’t think there will be a steep price drop with the next Vision, even if they should make an SE version. But let’s wait and see.","hey dagogo, thanks for your take on the vision pro, your content is great! however, i am not convinced here. sure, this product is a marvel of engineering, but still i do not get people walking around with high tech ski goggles and a powerbank in their pocket while having their hand movement tracked all the time (besides, we have the gdp in europe so good luck recording everyone around you without consent). this should work a an indoor product but imho will not replace the smartphone anytime soon. also, i think it is unusual for apple to announce a product that will only be available in half a year s time. this show there are challenge they have not tackled yet. and pricewise, remember that the first iphone wa $499 and price have generally risen with subsequent generations. so i don t think there will be a steep price drop with the next vision, even if they should make an se version. but let s wait and see.",1686210898.63538,miscellaneous,Neutral
96,96,"I only think they should have marketed it towards professionals and enthusiasts first, rather than the average consumer.","i only think they should have marketed it towards professional and enthusiast first, rather than the average consumer.",1686210898.637065,miscellaneous,Neutral
97,97,It is amazing how Apple has refined VR-AR headsets.,it is amazing how apple ha refined vr ar headset.,1686210898.638735,miscellaneous,Positive
98,98,"At 2:30 and 9:09 you/Apple mention it fixing the major problem of motion sickness. Motion sickness has not been a problem for years (anecdotally my mother in her late 60s and many friends have tried a Quest 1 from 2019 with no issues in 30+ minute sessions). The real issue is a lack of a reason to really stay in a Meta/Apple headset, i.e. a lack of software. Which is why both Apple and Meta are trying their best to convince developers to make apps for their platforms","at and 99 you apple mention it fixing the major problem of motion sickness. motion sickness ha not been a problem for year (anecdotal my mother in her late 60 and many friend have tried a quest 1 from 2019 with no issue in 30+ minute sessions). the real issue is a lack of a reason to really stay in a meta apple headset, i.e. a lack of software. which is why both apple and meta are trying their best to convince developer to make apps for their platform",1686210898.640437,miscellaneous,Neutral
99,99,"GOOD JOB DISCLUDING 1/2 OF YOUR USERS. SE VERSION OR SAMSUNG COMING OUT WITH THE ANDROID VERSION FOR 1,500 WILL WIN.","good job including 1 2 of your users. se version or samsung coming out with the android version for 1,500 will win.",1686210898.642113,miscellaneous,Positive
100,100,This is the future,this is the future,1686210898.9117,miscellaneous,Positive
