,Unnamed: 0,original,pre_processed_text,time_parsed,sentiments,predictions
12,12,"I’m confused between the Pixel and Samsung A54. Value for money is Samsung, but value offering is Pixel with its cutting edge technology!","i m confused between the pixel and samsung a54. value for money is samsung, but value offering is pixel with it cutting edge technology!",1685940847.132631,Neutral,miscellaneous
13,13,Trickle charge? How to activate that?,triple charge how to activate that,1685940847.134333,Neutral,miscellaneous
14,14,Pixel 7 is  $50 cheaper in Australia atm has been for a month,pixel 7 is $50 cheaper in australia atm ha been for a month,1685940847.136032,Neutral,miscellaneous
15,15,"Google pixel is disaster phone.  Using pixel 7 for 6months...they have huge network issue, which the are not able to improve in any update.
Dont every buy.

I am from india.","google pixel is disaster phone. using pixel 7 for 6months.they have huge network issue, which the are not able to improve in any update. do not every buy. i am from india.",1685940847.137753,Negative,miscellaneous
16,16,Well～ Google is data selling company. Hardware is the tools for data collecting devcies.  That merans ... hardware is not  the product of google ... why need to keep it ... secret !? I just wonder !!!! And also why keep the hardware high too !?,well google is data selling company. hardware is the tool for data collecting devices. that mean . hardware is not the product of google . why need to keep it . secret ! i just wonder ! and also why keep the hardware high too !,1685854447.139452,Neutral,miscellaneous
17,17,Almost at 17M subs....lets keep it going!,almost at 17m subs.let u keep it going!,1685768047.141164,Positive,imperative
18,18,oops! Google did a big poopie with 7A.,oops! google did a big people with 7a.,1685768047.142864,Negative,miscellaneous
19,19,Lower watt is safer for the phone battery longterm,lower watt is safer for the phone battery longterm,1685768047.144574,Neutral,miscellaneous
20,20,"too big, no jack...","too big, no jack.",1685768047.472963,Neutral,others
21,21,We all know Maquez is a massive Apple fan and will discrace everything non-Apple,we all know zquez is a massive apple fan and will disgrace everything non apple,1685768047.474703,Negative,miscellaneous
22,22,"Kauft das Redmi note 11 S im Mediamarkt oder Saturn. 199 Euro. Wenn es Euch nicht gefällt, dann nach vier Wochen geld zurück. Habe das Handy im Mediamarkt getestet und behalten. Jemand mit 70 Jahren. 

Oled 90 Hz, Klinke, Erweiterung auf 1 TB, 5000 akku, tolles display, super Kamera","aft da red note 11 s i am mediamarkt oder saturn. 199 euro. wenn e such nicht gef llt, dan nach vier when held zur ck. have da handy i am mediamarkt getestet und beaten. demand mit 70 jahre. old 90 hz, link, erweiterung auf 1 tb, 50 kaku, toll display, super camera",1685681647.476432,Neutral,miscellaneous
23,23,"No one needs 5G on a middle range phone.... For that money put a good 4g, 3.0 storage, and good Bluetooth... Keep it with plastic, it's ok, but 25w at least for charging. And a decent camera which it does have. But no more 5G....","no one need 5g on a middle range phone. for that money put a good 4g, 3.0 storage, and good bluetooth. keep it with plastic, it is ok, but 25w at least for charging. and a decent camera which it doe have. but no more 5g.",1685681647.478134,Positive,miscellaneous
24,24,Will there be 7A XL?,will there be 7a xl,1685595247.479836,Neutral,interrogative
25,25,My pixel 3 has not broke yet.  Gonna suck when it does because then I have to made some decisions.  I hate moving to a new phone no matter what and I never Jones to upgrade.  There is really not that much new offered these days.,my pixel 3 ha not broke yet. going to suck when it doe because then i have to made some decisions. i hate moving to a new phone no matter what and i never jones to upgrade. there is really not that much new offered these days.,1685595247.481552,Negative,miscellaneous
26,26,"No it doesnt, it costs $72 at ATT ($2/mo)","no it doe not, it cost $72 at att ($2 mo)",1685508847.483254,Neutral,miscellaneous
27,27,As of now the price difference to the Pixel 7 is 50€ (roughly 10% more). I rather spent the extra cash to get the more premium device. IMO the price gap should have been more significant.,a of now the price difference to the pixel 7 is 50 (roughly 10% more). i rather spent the extra cash to get the more premium device. i am going to the price gap should have been more significant.,1685508847.48497,Neutral,miscellaneous
28,28,I really think Google should work on battery 🔋 more my personal opinion,i really think google should work on battery more my personal opinion,1685508847.486685,Neutral,miscellaneous
29,29,I'm on a Pixel 6a and it's perfect..,i am on a pixel 6a and it is perfect.,1685508847.488391,Positive,miscellaneous
30,30,"Voice assistance should move out of the way before the screenshot is captured. The dotted blue icon on top left should also be not displayed when the screen shot is taken.

If the screen shot is activate by the pressing of the power and down volume the voice assistance blue circle should also move out of the way when the screenshot is been capture.

Is there a setting to enable this?",voice assistance should move out of the way before the screenshot is captured. the dotted blue icon on top left should also be not displayed when the screen shot is taken. if the screen shot is activate by the pressing of the power and down volume the voice assistance blue circle should also move out of the way when the screenshot is been capture. is there a setting to enable this,1685508847.490101,Neutral,miscellaneous
31,31,I dont know why you guys are reluctant to show interest in motorolla devices like Motorola edge plus 2023...Please review it...thank you,i do not know why you guy are reluctant to show interest in motorola device like motorola edge plus 2023.please review it.thank you,1685508847.491801,Negative,miscellaneous
32,32,Costs 30€ to make one in China probably,cost 30 to make one in china probably,1685422447.493515,Neutral,miscellaneous
33,33,"Bought pixel 7 for £387 brand new today. Pixel 7a is £450 in the UK. Makes no sense.

Super happy with the 7 though.",bought pixel 7 for 387 brand new today. pixel 7a is 450 in the uk. make no sense. super happy with the 7 though.,1685422447.495224,Positive,miscellaneous
34,34,"Hi mate! Awesome video as always, thank you. I’ve been using the iPhone for over 10 years now, currently I’m using the iPhone 14 Pro Max. Lately I’ve felt no need of a phone that expensive, especially when I only use it for social media, calls, emails and some light gaming like clash of clans and Pokémon go. Is the pixel 7a the way to go for me or should I look at something else? I really don’t need a expensive phone, just fast and good camera. All the best.","hi mate! awesome video a always, thank you. i ve been using the iphone for over 10 year now, currently i m using the iphone 14 pro max. lately i ve felt no need of a phone that expensive, especially when i only use it for social media, calls, email and some light gaming like clash of clan and pok mon go. is the pixel 7a the way to go for me or should i look at something else i really don t need a expensive phone, just fast and good camera. all the best.",1685422447.496944,Positive,miscellaneous
35,35,man with how good midrange phones are now I really can't justify spending the nearly double for a flagship phone.  A54 seemes decent though I would have preferred a $50 price hike there vs $100 that they did.  and Google doesn't disappoint with the pixel a series again.,man with how good mirage phone are now i really cannot justify spending the nearly double for a flagship phone. a54 seems decent though i would have preferred a $50 price hike there v $100 that they did. and google doe not disappoint with the pixel a series again.,1685336047.498688,Positive,miscellaneous
36,36,did they fix the radios? I have a two 6a's that drop calls when moving from lte/5g,did they fix the radio i have a two 6a's that drop call when moving from lte 5g,1685336047.500439,Neutral,miscellaneous
37,37,ill just get the 6a and trade in for a better one later,ill just get the 6a and trade in for a better one later,1685336047.50218,Neutral,miscellaneous
38,38,nice catch there...,nice catch there.,1685336047.503914,Positive,others
39,39,"I am thinking of buying a pixel. But i am confused, should i buy 6 pro or 7. please help","i am thinking of buying a pixel. but i am confused, should i buy 6 pro or 7. please help",1685336047.505657,Neutral,miscellaneous
40,40,Why I can here another voiceover from this video ... this voice not comes from him...🙄,why i can here another voiceover from this video . this voice not come from him.,1685249647.812679,Negative,miscellaneous
41,41,"While I love Googles A series, I think they really need to work on their pricing. In Canada, where I am, the 7A is $599, which is too much for me to pay for a midrange phone. Last year in Canada they were among the most expensive midrange phones, and you can often get cheaper, better phones by buying flagships from a few years ago- eg. I was able to find a iPhone 11 a few years back at a cheaper price than the 7A. I love Google phones, but for me the price is getting too high to afford.
EDIT: I'd also like to say after a few seconds of searching I was able to find a Pixel 7 listing on ebay for $20 cheaper than the 7a- I think that if their midrange phone can be undercut that fast then Google should look at their pricing.","while i love google a series, i think they really need to work on their pricing. in canada, where i am, the 7a is $599, which is too much for me to pay for a mirage phone. last year in canada they were among the most expensive mirage phones, and you can often get cheaper, better phone by buying flagship from a few year ago eg. i wa able to find a iphone 11 a few year back at a cheaper price than the 7a. i love google phones, but for me the price is getting too high to afford. edit: i would also like to say after a few second of searching i wa able to find a pixel 7 listing on ebay for $20 cheaper than the 7a i think that if their mirage phone can be undercut that fast then google should look at their pricing.",1685249647.814444,Positive,miscellaneous
42,42,I'm waiting for your Xiaomi 13 Ultra review,i am waiting for your miami 13 ultra review,1685249647.816189,Neutral,miscellaneous
43,43,HOW COME YOU DONT REVIEW RUGGED PHONES ???,how come you do not review rugged phone,1685249647.817936,Negative,miscellaneous
44,44,"I think i'll go with the 7a, as i can get it for 250$ bc of the company i have the data from. 7 cost 400-600$ so i think 7a is the right option herr","i think i will go with the 7a, a i can get it for 250$ because of the company i have the data from. 7 cost 400 600$ so i think 7a is the right option her",1685249647.819673,Positive,miscellaneous
45,45,This is the slowest charging phone in history...,this is the slowest charging phone in history.,1685249647.821418,Negative,miscellaneous
46,46,Thanks,thanks,1685163247.823154,Neutral,others
47,47,Was I the only one who immediately went to the comments after I saw the Linus mat the phone slid on? 😂,wa i the only one who immediately went to the comment after i saw the link mat the phone slid on,1685163247.824917,Neutral,miscellaneous
48,48,"The 7a does have 5 years of security updates, but only 3 years of OS updates.","the 7a doe have 5 year of security updates, but only 3 year of o updates.",1685163247.826653,Neutral,miscellaneous
49,49,I like this phone Google Pixel 7A,i like this phone google pixel 7a,1685076847.828398,Positive,miscellaneous
50,50,Google needs to make a similar system like iMessage where it relies with wifi or cellular data & is exclusive to android.,google need to make a similar system like message where it relies with wifi or cellular data & is exclusive to android.,1685076847.83013,Neutral,miscellaneous
51,51,"2:26, don't worry Linus is worst",", do not worry link is worst",1685076847.831862,Negative,interrogative
52,52,Watching all this in my xaomi note 7,watching all this in my naomi note 7,1685076847.833604,Neutral,miscellaneous
53,53,"so midrange is 500 now, and bulky.,.. man i loved the 4a ....","so mirage is 500 now, and bulky.,. man i loved the 4a .",1685076847.83533,Positive,miscellaneous
54,54,2:15 that was a hilarious cat video,that wa a hilarious cat video,1685076847.837081,Positive,miscellaneous
55,55,I would just buy Samsung A54 over this,i would just buy samsung a54 over this,1685076847.838808,Neutral,miscellaneous
56,56,Can anbody tell me about heating issues ?,can anybody tell me about heating issue,1685076847.840547,Neutral,interrogative
57,57,This guy might be the best example of one exhibiting the Dunning-Kruger effect.,this guy might be the best example of one exhibiting the running ruler effect.,1684990447.842324,Positive,miscellaneous
58,58,"I'm in a tough spot i have the opportunity to grab the pixel 7 for $99 and the pixel 7a for free, which do you guys recommend?","i am in a tough spot i have the opportunity to grab the pixel 7 for $99 and the pixel 7a for free, which do you guy recommend",1684990447.844073,Neutral,miscellaneous
59,59,Is there a way to add/install an edge panel on the pixel phone?,is there a way to add install an edge panel on the pixel phone,1684990447.84584,Neutral,miscellaneous
60,60,Gets a bit hot when using camera,get a bit hot when using camera,1685163248.052238,Neutral,miscellaneous
61,61,What goes around comes around.,what go around come around.,1684990448.357589,Neutral,interrogative
62,62,"Don't understand what Google is doing. No point in getting a normal pixel. With the 7a now. Has a flagship processor, flagship camera. And $200 cheaper only reason to get the 8 would be faster charging and the G3 is way better in the battery endurance.","do not understand what google is doing. no point in getting a normal pixel. with the 7a now. ha a flagship processor, flagship camera. and $200 cheaper only reason to get the 8 would be faster charging and the g3 is way better in the battery endurance.",1684990448.359384,Negative,miscellaneous
63,63,You mentioned that the camera in pixel 7 is more capable than in pixel 7a. Why do you think so?,you mentioned that the camera in pixel 7 is more capable than in pixel 7a. why do you think so,1684990448.361165,Neutral,corrective
64,64,I want a smaller phone so i choose pixel 7a,i want a smaller phone so i choose pixel 7a,1684990448.362922,Neutral,miscellaneous
65,65,"Bottle line - if you're a Pixel user, upgrade to the latest when you can afford it.","bottle line if you are a pixel user, upgrade to the latest when you can afford it.",1684990448.364692,Neutral,miscellaneous
66,66,"Why does no one review phone antennas? I care more about that than cameras. I have a house in the mountains with not great reception, and I bought a Samsung S9+, followed up be a S22+ because they have good antennas for reception. But, I have to DIG to find any reviews of antenna strength. II would love to hear a review of the Pixel antennas. That said, love your channel.","why doe no one review phone antenna i care more about that than cameras. i have a house in the mountain with not great reception, and i bought a samsung s9+, followed up be a s22+ because they have good antenna for reception. but, i have to dig to find any review of antenna strength. ii would love to hear a review of the pixel antennas. that said, love your channel.",1684990448.366452,Positive,miscellaneous
67,67,"Over the years Marques seems to have become too condescending and elitist.
I hope he starts giving a constructive review once again, like he had once given for OnePlus 3.","over the year marque seems to have become too condescending and elitist. i hope he start giving a constructive review once again, like he had once given for oplus 3.",1684990448.368213,Negative,miscellaneous
68,68,I am so unhappy with my 7 Pro that I went back to the 5... I hope they didn't mess this one up,i am so unhappy with my 7 pro that i went back to the 5. i hope they did not mess this one up,1684990448.369987,Negative,miscellaneous
69,69,Probably just cop it at less then half the price when some douche bag gets bored with it after 3months and needs to get whatever overpriced latest model  of whatever phone drops....,probably just cop it at le then half the price when some double bag get bored with it after 3months and need to get whatever overpriced latest model of whatever phone drops.,1684990448.371814,Negative,miscellaneous
70,70,"Every time I want to compare products I view 2 or 3 different videos… then I come to MB's channel and watch his review and I'm like ""why do I waste my time watching other videos??!!""!😂",every time i want to compare product i view 2 or 3 different video then i come to mb's channel and watch his review and i am like why do i waste my time watching other video ! !,1684990448.37363,Negative,miscellaneous
71,71,Why is Marquees speaking Spanish now?!,why is marquee speaking spanish now !,1684990448.375396,Negative,interrogative
72,72,Your calendar is super busy. You're blessed,your calendar is super busy. you are blessed,1684990448.377177,Positive,miscellaneous
73,73,"I currently have a Pixel 5 on Google Fi, with trade-in I can get this for $112. I think it's a no-brainer.","i currently have a pixel 5 on google fi, with trade in i can get this for $112. i think it is a no brainer.",1684990448.378934,Positive,miscellaneous
74,74,I have been using Pixel 7 now for almost 2 weeks. Unfortunately my 3 year old Samsung S10 has waay better features than my new Pixel. Samsung just makes waaay better phones than probably any other brand.,i have been using pixel 7 now for almost 2 weeks. unfortunately my 3 year old samsung s10 ha way better feature than my new pixel. samsung just make way better phone than probably any other brand.,1684990448.380709,Positive,miscellaneous
75,75,coming on hot ones i see,coming on hot one i see,1684990448.38247,Neutral,others
76,76,"Every review I have seen about pixel phones does not mention that every pixel phone has the 5g capability locked for a handful of networks. Although you have a very capable phone that is ""unlocked"" the 5g will only work for specific countries",every review i have seen about pixel phone doe not mention that every pixel phone ha the 5g capability locked for a handful of networks. although you have a very capable phone that is unlocked the 5g will only work for specific country,1684990448.384223,Neutral,miscellaneous
77,77,That cat,that cat,1684990448.386004,Neutral,miscellaneous
78,78,"I think the ""keeping secrets"" part of product releases is SEVERELY overrated...like, what difference does it make to anyone other than tech reporters?","i think the keeping secret part of product release is severely operated.like, what difference doe it make to anyone other than tech reporter",1684990448.38776,Neutral,miscellaneous
79,79,"just got this phone and the pixel 7 for free by adding two lines to my account in t-mobile ready for the kicker?
there was another promotion get two lines for the price of one! paying $25 dollars a month for two phones and two lines! best deal
$600 in 2 years total",just got this phone and the pixel 7 for free by adding two line to my account in t mobile ready for the kicker there wa another promotion get two line for the price of one! paying $25 dollar a month for two phone and two lines! best deal $600 in 2 year total,1684990448.389542,Positive,miscellaneous
80,80,"The price of the 7a is gonna make more sense when the Pixel 8 series release, seeing that google might increase the price of the 8 series...my speculation is that the pixel 8Pro will release at $999, pixel 8 at $699 and they're gonna keep the regular 7 at &599. 

And google would have a pixel for a variety of prices, like Apple and Samsung.","the price of the 7a is going to make more sense when the pixel 8 series release, seeing that google might increase the price of the 8 series.my speculation is that the pixel 8pro will release at $9, pixel 8 at $699 and they are going to keep the regular 7 at &599. and google would have a pixel for a variety of prices, like apple and samsung.",1684990448.391311,Positive,miscellaneous
81,81,But first we feast!!!,but first we feast!,1684990448.736533,Positive,miscellaneous
82,82,"In India, we can get 7A for 18% less than 7 with some offers. I went with 7A.","in india, we can get 7a for 18% le than 7 with some offers. i went with 7a.",1684990448.738301,Neutral,miscellaneous
83,83,What is the wireless charging station used at 0:50?,what is the wireless charging station used at,1684990448.740061,Neutral,interrogative
84,84,"Google should sell its devices in Brazil, they would be very successful here","google should sell it device in brazil, they would be very successful here",1684990448.741825,Positive,miscellaneous
85,85,"Last 2 ""a"" releases from Google they offered to buy my previous Pixels for $300, making the upgrade a no-brainer.

Now they're offering $136 and the price has gone up $50. As much as this looks like a great phone, it looks like Google doesn't want me to have it.","last 2 a release from google they offered to buy my previous pixel for $300, making the upgrade a no brainer. now they are offering $136 and the price ha gone up $50. a much a this look like a great phone, it look like google doe not want me to have it.",1684990448.743575,Negative,miscellaneous
86,86,"Yeah this one isn't for me. Pixels are getting too ritzy, and the awful speakers and mediocre battery life just aren't worth. I'm going to look at cheaper options.","yeah this one is not for me. pixel are getting too city, and the awful speaker and mediocre battery life just are not worth. i am going to look at cheaper options.",1684990448.745328,Negative,miscellaneous
87,87,You know Apple offers support longer than any Android brand.  I can’t believe you said that.,you know apple offer support longer than any android brand. i can t believe you said that.,1684990448.747068,Neutral,miscellaneous
88,88,Can you do a full review of Sony Xperia 1 mark 5 pls?,can you do a full review of sony xperia 1 mark 5 pls,1684990448.74882,Neutral,interrogative
89,89,My one and only pixel phone was the 3a that was a beauty,my one and only pixel phone wa the 3a that wa a beauty,1684990448.750567,Positive,miscellaneous
90,90,I thought Google making its own phones would have us Apple-like software update policy... 3yrs software update in 2023 is so so sad!,i thought google making it own phone would have u apple like software update policy. 3yrs software update in 2023 is so so sad!,1684990448.752314,Negative,miscellaneous
91,91,如果找个朋友带回来，能够支持中国5G吗,5g,1684990448.75407,Neutral,miscellaneous
92,92,The prices of these phones are outrageous.,the price of these phone are outrageous.,1684990448.757576,Negative,miscellaneous
93,93,"@mkbhd, What Mobile phone  is the best non heating high spec phone that can be used in Africa for vlogs?","kbd, what mobile phone is the best non heating high spec phone that can be used in africa for blog",1684990448.759333,Neutral,interrogative
94,94,"Isn't it true, and not mentioned here that Google forces you to keep your photos on a paid cloud? And you have the option to put them in Files?","is not it true, and not mentioned here that google force you to keep your photo on a paid cloud and you have the option to put them in file",1684990448.761093,Neutral,miscellaneous
95,95,"Won't buy another Google phone. Most issues I've ever had was the 6a still won't connect to half my Bluetooth devices. If uninformed, Google Bluetooth pixel issues. The battery life- so bad I still don't understand. I don't care but id go back to moto for budget devices that are good","will not buy another google phone. most issue i have ever had wa the 6a still will not connect to half my bluetooth devices. if uninformed, google bluetooth pixel issues. the battery life so bad i still do not understand. i do not care but id go back to moto for budget device that are good",1684990448.762839,Negative,miscellaneous
96,96,Planning on aging at some point?,planning on aging at some point,1684990448.764596,Neutral,miscellaneous
97,97,Is that linus's head /??? 6:42,is that links's head,1684990448.76635,Neutral,miscellaneous
98,98,Still using the 4a. . works great. . I got 6p that didn't die either but on it's last breaths.,still using the 4a. . work great. . i got 6p that did not die either but on it is last breath.,1684990448.768097,Positive,miscellaneous
99,99,It will be an easy auto buy for many android users if they give us 120hz. Too bad they decided to be stingy about it.,it will be an easy auto buy for many android user if they give u 120hz. too bad they decided to be sting about it.,1684990448.76985,Neutral,miscellaneous
100,100,why this Pixel 7 and Pixel 7a looks like Iphone 13 and Iphone 14??,why this pixel 7 and pixel 7a look like iphone 13 and iphone 14,1684990449.0968,Neutral,miscellaneous
101,101,Good $300 phone ( in 6 month ),good $300 phone ( in 6 month ),1684990449.098565,Positive,others
102,102,Looks incredible for the price .. but it’s not an iPhone,look incredible for the price . but it s not an iphone,1684990449.100315,Positive,miscellaneous
103,103,"Hey Marques,
I own a OnePlus 8t and had a very bad experience with both OnePlus and Oppo devices with their motherboard crash.
Now I'm planning to move to the Pixel devices.
Looking at the current prices I can see that Pixel 6a is a great deal, but still Pixel 7a is pulling me because of its 90 hz display and Sony IMX786 sensor compared to very old sensor on Pixel 6a.
But the only thing I'm worried is about prices. I'm not getting that interest to spend huge amount of money on smartphones. Do you think the 6GB RAM and 60 hz works for me, as I have 120hz and 12gb RAM on OnePlus 8t
Please advise me on this.","hey marques, i own a oplus 8t and had a very bad experience with both oplus and opp device with their motherboard crash. now i am planning to move to the pixel devices. looking at the current price i can see that pixel 6a is a great deal, but still pixel 7a is pulling me because of it 90 hz display and sony im786 sensor compared to very old sensor on pixel 6a. but the only thing i am worried is about prices. i am not getting that interest to spend huge amount of money on smartphones. do you think the 6gb ram and 60 hz work for me, a i have 120hz and 12gb ram on oplus 8t please advise me on this.",1684990449.102093,Negative,miscellaneous
104,104,"If Google made YouTube and YT music ad free for pixel users, I'm sure their sales would skyrocket !!","if google made youtube and yt music ad free for pixel users, i am sure their sale would skyrocket !",1684990449.10384,Positive,miscellaneous
105,105,What do you think is more worth it the pixel 7a with pixel buds a and a free case for 500 or just a plain pixel 7 for 600,what do you think is more worth it the pixel 7a with pixel bud a and a free case for 500 or just a plain pixel 7 for 600,1684990449.105597,Neutral,miscellaneous
106,106,"To be perfectly honest, if you don't care much about the camera, the pixel phones seem like a terrible deal","to be perfectly honest, if you do not care much about the camera, the pixel phone seem like a terrible deal",1684990449.107345,Negative,miscellaneous
107,107,7a is definitely for me. I’m hoping to get one soon,7a is definitely for me. i m hoping to get one soon,1684990449.109107,Positive,miscellaneous
108,108,"What about network issues and frequent call drops, people were facing in PIxel 7 & 7 pro
Google fixed that in Pixel 7A ?","what about network issue and frequent call drops, people were facing in pixel 7 & 7 pro google fixed that in pixel 7a",1684990449.110854,Neutral,miscellaneous
109,109,6:40 I died at this,i died at this,1684990449.112619,Negative,miscellaneous
110,110,Am I the only person seeing a white phone? 😂,am i the only person seeing a white phone,1684990449.114382,Neutral,miscellaneous
111,111,The price is nonsense. My 5a cost only $350.,the price is nonsense. my 5a cost only $350.,1684990449.116129,Negative,miscellaneous
112,112,"Couldn't DISAGREE more with the intro, Google is the WORST at keeping things secret and it's ON purpose!  Few days back google released the pixel 8 leaks themselves. it their strategy !","could not disagree more with the intro, google is the worst at keeping thing secret and it is on purpose! few day back google released the pixel 8 leak themselves. it their strategy !",1684990449.117896,Negative,miscellaneous
113,113,does nobody going to talk about the heating issue in tensor chips?,doe nobody going to talk about the heating issue in tensor chip,1684990449.11965,Negative,miscellaneous
114,114,"Somebody please explain why the Refresh Rate is so expensive for Google? 6a had 60hz , 7a has 90hz and if I'm not wrong 7/7 pro has 120 hz
Why not 120 for all of them ? Most other companies do it","somebody please explain why the refresh rate is so expensive for google 6a had 60hz , 7a ha 90hz and if i am not wrong 7 7 pro ha 120 hz why not 120 for all of them most other company do it",1684990449.121415,Negative,corrective
115,115,ncie,nice,1684990449.12316,Positive,others
116,116,6a battery dies in 4hs 7a does the same dont buy this shit,6a battery dy in 4hs 7a doe the same do not buy this shit,1684990449.124918,Negative,miscellaneous
117,117,"Currently using an iPhone 13mini, and my work has a $50 gift card deal to buy an Unlocked Pixel 7A, and I get 15% off with my discounts. 

Should I do it?","currently using an iphone 13mini, and my work ha a $50 gift card deal to buy an unlocked pixel 7a, and i get 15% off with my discounts. should i do it",1684990449.126675,Positive,miscellaneous
118,118,"Has marques talked about how to post on instagram in HD quality with the pixel? I’m an ex-iPhone user and trying the pixel, but I miss the good quality of the instagram stories with the iPhone…","ha marque talked about how to post on instagram in hd quality with the pixel i m an ex iphone user and trying the pixel, but i miss the good quality of the instagram story with the iphone",1684990449.128431,Negative,miscellaneous
119,119,I think 6a looks better,i think 6a look better,1684990449.130184,Positive,miscellaneous
120,120,If you use pixel pass to pay it off it is included along with insurance and cloud storage,if you use pixel pas to pay it off it is included along with insurance and cloud storage,1684990449.360087,Neutral,miscellaneous
121,121,What is a better deal in this price range in your opinion?,what is a better deal in this price range in your opinion,1684990449.567971,Neutral,miscellaneous
122,122,I love to hear more if you care to elaborate. Im considering buying it so any news is helpful,i love to hear more if you care to elaborate. i am considering buying it so any news is helpful,1684990449.77104,Positive,miscellaneous
123,123,But how does grapheneos run on it?,but how doe graphene run on it,1684990450.119759,Neutral,interrogative
124,124,For me its really important that the phone can be used easy with one hand (so I usually go for smaller size). Should I get Google Pixel 6A for 300 EUR or Pixel 7a for 550 EUR ?? I hear some people say that the 7a is visibly larger and the 6a is better for one hand use but both are 6.1 inch ???,for me it really important that the phone can be used easy with one hand (so i usually go for smaller size). should i get google pixel 6a for 300 eur or pixel 7a for 550 eur i hear some people say that the 7a is visibly larger and the 6a is better for one hand use but both are 6.1 inch,1684990450.121551,Positive,miscellaneous
125,125,That short Linus reference tho 6:41,that short link reference though,1684990450.123318,Neutral,miscellaneous
126,126,"I really wish someone would shine light on the fact that if Smooth Display is on, any game or app that forces 60Hz runs like absolute choppy garbage. Seems like completely inconsistent frame rate. Turning off Smooth Display fixes it. This happens with every Pixel I've had with the Smooth Display option, which is the Pixel 5, 6 and 7. No other manufacturer has this problem and I've tried several OnePlus and Samsung phones.","i really wish someone would shine light on the fact that if smooth display is on, any game or app that force 60hz run like absolute choppy garbage. seems like completely inconsistent frame rate. turning off smooth display fix it. this happens with every pixel i have had with the smooth display option, which is the pixel 5, 6 and 7. no other manufacturer ha this problem and i have tried several oplus and samsung phones.",1684990450.125107,Negative,miscellaneous
127,127,"Not sure whether this deal is available for the other Pixel models, but I just got the Pixel 7A with free ear buds (usually $99), and free case (usually $25) from Google's website. Pretty good deal.","not sure whether this deal is available for the other pixel models, but i just got the pixel 7a with free ear bud (usually $99), and free case (usually $25) from google's website. pretty good deal.",1684990450.126866,Positive,miscellaneous
128,128,@Marques Brownlee Which Phone Should I buy 7a or 7,argues browne which phone should i buy 7a or 7,1684990450.128631,Neutral,interrogative
129,129,I love pixel phones design and in hand feel,i love pixel phone design and in hand feel,1684990450.130385,Positive,miscellaneous
130,130,Might as well get a cheap iPhone,might a well get a cheap iphone,1684990450.132139,Positive,miscellaneous
131,131,Omg another MKBHD Hot Ones???,omg another kbd hot one,1684385650.133904,Positive,others
132,132,"""plastic back""?...who cares. It's going in a case...",plastic back .who cares. it is going in a case.,1684385650.135656,Neutral,miscellaneous
